SID,cellType,Centroid_X,Centroid_Y
1,5,239,708
1,7,675,25
1,6,304,588
1,9,111,252
1,10,255,570
1,5,9,750
1,1,644,18
1,3,119,10
1,1,138,124
1,10,388,94
1,11,782,80
1,10,733,405
1,3,765,352
1,9,149,535
1,1,301,84
1,3,723,601
1,1,114,664
1,8,83,455
1,2,728,503
1,10,750,524
1,6,481,403
1,8,654,450
1,1,13,26
1,11,513,329
1,3,239,68
1,12,340,271
1,8,638,569
1,11,544,420
1,12,526,675
1,7,343,486
1,12,699,0
1,6,249,620
1,4,459,167
1,12,730,445
1,1,284,556
1,5,296,221
1,5,324,333
1,2,342,26
1,6,493,184
1,10,553,464
1,12,546,83
1,11,461,683
1,8,486,375
1,1,224,246
1,5,386,595
1,8,302,349
1,1,641,274
1,3,486,178
1,1,434,325
1,4,244,179
1,1,72,689
1,7,431,768
1,12,76,556
1,7,765,581
1,12,455,130
1,6,400,374
1,2,569,772
1,10,224,621
1,8,610,292
1,9,9,661
1,3,697,528
1,9,361,179
1,12,636,186
1,6,515,710
1,2,140,732
1,1,501,70
1,11,97,463
1,7,308,678
1,5,599,284
1,3,283,424
1,6,541,343
1,2,236,401
1,5,289,453
1,9,743,701
1,2,38,576
1,4,192,106
1,7,488,484
1,9,122,300
1,2,688,141
1,7,704,535
1,7,364,84
1,5,581,620
1,9,345,346
1,6,732,562
1,1,207,780
1,7,162,359
1,1,715,62
1,9,544,127
1,9,686,207
1,2,309,40
1,8,259,30
1,3,515,140
1,1,392,694
1,8,527,485
1,5,462,51
1,10,221,57
1,7,634,441
1,7,344,86
1,3,236,374
1,6,359,55
1,5,492,654
1,5,288,585
1,2,672,602
1,5,492,106
1,7,1,320
1,4,135,372
1,11,581,706
1,5,452,104
1,8,3,127
1,3,386,93
1,11,524,691
1,12,212,685
1,12,675,724
1,7,111,605
1,3,421,140
1,1,247,30
1,12,162,286
1,7,710,679
1,5,431,416
1,10,460,558
1,5,528,72
1,4,439,215
1,8,41,767
1,1,126,97
1,4,696,203
1,4,509,172
1,1,726,468
1,3,361,662
1,12,401,221
1,12,648,96
1,4,140,715
1,2,42,188
1,1,19,115
1,2,553,323
1,2,121,748
1,1,265,661
1,11,142,567
1,5,223,327
1,10,183,317
1,9,332,448
1,1,81,232
1,7,51,86
1,2,387,205
1,3,523,41
1,12,467,205
1,1,430,25
1,6,609,647
1,2,168,196
1,6,642,555
1,5,89,293
1,9,283,719
1,3,539,539
1,7,682,753
1,2,447,590
1,7,646,755
1,12,182,129
1,4,683,766
1,11,724,478
1,10,27,721
1,1,593,97
1,3,582,583
1,10,692,394
1,10,54,64
1,11,746,355
1,10,424,725
1,2,186,17
1,7,220,718
1,8,180,760
1,3,226,597
1,1,603,438
1,2,204,11
1,5,190,172
1,1,537,581
1,1,324,639
1,2,288,184
1,8,19,451
1,4,263,523
1,4,284,489
1,2,751,400
1,7,609,376
1,11,627,556
1,7,187,35
1,12,530,643
1,12,206,517
1,4,409,636
1,6,184,621
1,1,152,712
1,2,666,60
1,2,460,311
1,9,111,279
1,2,201,517
1,7,130,651
1,11,240,244
1,4,664,481
1,8,165,110
1,9,677,575
1,1,427,461
1,5,746,129
1,11,508,285
1,12,312,231
1,11,771,600
1,8,563,378
1,11,180,308
1,1,228,437
1,1,672,578
1,11,524,272
1,4,278,336
1,4,112,763
1,10,222,89
1,2,735,290
1,7,252,11
1,7,627,394
1,3,646,494
1,2,634,451
1,11,547,724
1,6,287,675
1,3,174,352
1,8,287,607
1,1,133,24
1,6,623,234
1,11,95,222
1,7,486,236
1,2,499,120
1,1,462,41
1,4,463,683
1,2,133,477
1,2,166,567
1,9,429,134
1,11,244,414
1,8,645,748
1,1,532,147
1,4,131,295
1,11,481,235
1,1,24,322
1,3,536,775
1,12,298,445
1,8,502,352
1,2,188,741
1,2,159,82
1,9,547,47
1,6,87,8
1,2,538,337
1,6,85,70
1,1,243,474
1,7,148,303
1,8,39,322
1,6,553,599
1,10,133,554
1,1,32,275
1,12,168,79
1,9,514,125
1,1,20,284
1,4,671,54
1,9,9,699
1,4,244,134
1,2,446,389
1,8,51,392
1,12,168,100
1,1,78,610
1,12,548,291
1,1,235,500
1,8,451,756
1,5,515,458
1,9,489,732
1,7,169,98
1,6,32,428
1,2,586,247
1,2,727,190
1,5,61,682
1,11,758,355
1,2,192,473
1,5,726,453
1,2,29,451
1,2,744,588
1,12,472,353
1,4,222,707
1,2,588,547
1,1,243,383
1,5,761,352
1,2,625,280
1,11,33,55
1,11,164,558
1,6,404,119
1,2,247,446
1,5,691,743
1,7,541,172
1,2,100,545
1,4,758,71
1,9,599,277
1,9,508,192
1,6,493,532
1,9,388,105
1,1,264,313
1,8,660,298
1,2,603,251
1,12,64,237
1,3,359,484
1,1,769,143
1,10,140,723
1,9,619,574
1,5,180,158
1,11,746,250
1,6,344,118
1,9,484,617
1,7,172,446
1,6,136,507
1,9,22,458
1,2,138,291
1,1,22,735
1,11,506,439
1,3,509,541
