gene_1,gene_2,gene_3
42,41,4
16,45,9
16,5,15
6,9,8
36,26,6
41,31,31
14,14,49
46,8,8
36,25,12
22,7,6
30,18,47
6,14,2
17,35,39
6,47,32
16,7,6
7,27,8
2,32,31
9,9,27
21,11,32
6,24,38
29,15,24
19,18,48
48,18,36
36,14,10
19,42,9
13,18,22
40,44,44
20,17,49
30,32,40
43,14,42
13,11,4
31,23,41
5,32,8
24,41,11
45,14,45
5,28,23
1,20,7
45,28,27
32,9,9
6,19,34
38,25,25
30,4,49
29,46,30
14,6,15
37,48,8
40,36,21
26,27,49
26,46,3
50,3,4
4,38,13
40,36,40
6,42,18
3,36,21
12,2,1
40,38,1
0,45,19
19,29,36
37,27,18
32,38,31
40,26,49
14,12,25
2,10,9
31,34,37
30,21,7
13,16,43
35,32,10
23,33,13
31,32,40
41,19,31
23,15,18
27,32,7
9,34,16
0,23,5
11,28,23
8,26,18
43,7,31
23,22,38
14,11,20
12,31,24
43,7,10
33,8,10
1,10,38
34,41,3
6,44,47
5,31,10
32,31,16
18,33,18
20,23,1
47,11,4
36,47,26
23,7,0
12,36,13
38,45,25
12,21,18
47,6,9
15,4,9
27,29,3
35,39,35
0,47,8
16,47,18
11,20,33
21,9,20
7,24,28
20,43,39
17,2,7
33,38,37
39,25,47
19,15,46
48,6,24
6,48,30
27,48,43
45,47,37
34,38,39
11,36,47
14,0,29
20,32,15
20,4,49
11,26,11
14,18,1
21,15,10
39,40,30
45,50,29
26,32,34
1,2,6
16,20,14
34,35,9
38,5,13
39,49,13
11,25,41
12,21,10
12,24,2
26,49,27
9,35,23
17,23,9
29,13,32
6,49,8
4,40,12
12,38,3
17,15,23
8,28,4
20,40,37
6,24,31
38,11,31
24,32,43
17,10,14
6,39,40
21,34,34
29,28,34
10,44,40
8,10,31
11,42,4
20,48,16
14,15,22
12,44,30
49,15,9
29,5,25
38,14,15
15,33,29
22,20,46
3,23,44
19,37,20
8,1,6
10,39,13
29,25,31
49,9,32
26,34,13
27,12,18
14,37,30
13,29,28
30,8,8
35,30,24
35,5,5
19,40,35
28,5,22
1,7,7
1,34,11
30,22,33
8,1,11
27,45,24
15,6,16
32,45,25
25,13,8
38,40,32
40,16,31
34,41,8
28,49,25
31,38,43
13,19,48
43,20,21
5,22,45
46,30,25
42,19,15
38,3,46
9,34,9
46,31,15
18,24,47
9,21,5
36,3,33
46,47,35
49,16,28
12,24,9
1,38,9
4,38,6
40,9,18
5,9,33
10,40,27
48,16,15
13,14,29
3,20,45
22,0,45
38,31,31
18,23,14
45,17,37
40,9,39
24,50,37
46,10,49
50,8,16
41,46,15
3,39,49
26,50,50
38,46,23
5,12,48
49,41,20
32,45,48
50,14,39
43,10,4
47,35,23
35,17,15
29,32,19
29,40,13
46,48,1
5,19,36
9,36,25
23,29,45
37,2,7
18,13,43
30,25,1
50,41,20
29,40,4
4,32,7
33,26,37
18,1,8
39,34,26
28,17,45
19,14,36
31,19,7
10,14,49
27,28,37
26,13,35
47,39,27
16,30,25
3,49,17
44,39,18
24,11,44
49,28,37
8,2,29
47,4,9
9,12,4
34,11,15
15,15,16
48,11,40
10,26,16
24,28,18
23,31,21
40,29,47
45,39,48
35,46,29
12,5,38
23,31,20
21,35,32
44,11,8
4,48,50
26,5,48
35,49,37
22,16,1
38,12,22
27,19,0
22,30,29
29,41,30
29,13,9
23,48,34
10,32,4
35,2,15
29,14,15
17,25,43
17,27,48
32,15,40
10,11,38
22,17,39
19,34,37
12,11,2
15,11,11
17,28,0
20,47,17
32,18,43
8,35,22
48,12,40
35,3,7
15,49,31
28,8,48
29,6,4
28,15,18
5,1,19
19,14,5
0,36,45
15,17,6
38,37,18
13,44,30
39,20,50
36,33,40
7,48,26
7,48,25
26,16,2
41,42,3
0,32,18
39,33,24
3,22,42
38,11,23
16,48,25
33,32,8
49,38,11
17,26,47
15,4,18
7,36,12
26,45,19
36,15,28
3,35,37
13,24,41
1,27,5
23,1,49
44,16,34
37,15,15
3,35,50
8,15,37
18,35,28
13,14,11
15,12,15
20,39,35
23,9,31
1,46,8
15,6,44
32,17,35
8,25,8
3,1,50
47,15,25
14,20,38
7,16,12
34,44,23
26,18,27
34,3,12
20,11,23
5,14,18
9,44,40
6,28,11
16,46,11
49,2,49
30,3,20
23,28,16
48,25,35
40,2,27
39,33,45
31,7,42
29,39,42
41,17,16
28,10,3
17,48,15
35,44,39
20,0,0
38,34,37
4,12,0
6,39,16
48,11,41
29,49,4
9,29,27
27,50,19
34,21,10
19,7,21
3,18,47
0,47,43
11,5,24
19,13,49
49,38,17
44,34,46
43,29,42
40,19,33
15,42,15
34,17,2
2,26,20
30,21,5
20,43,28
36,18,11
49,24,10
32,33,46
40,27,50
18,10,27
16,43,18
20,38,5
43,49,37
11,46,1
41,5,35
30,22,27
16,42,38
39,21,29
16,31,44
24,40,27
7,43,10
21,31,23
26,23,26
4,32,47
36,12,44
11,3,23
36,29,33
48,15,34
