geneName,motifNumber,motifPosition,cellType,section_id,pvalue,deltaMedian,motifMedian,typeMedian,numCellMotif,numCellType
Mbp,3,1,4,3,39.4589494390201,0.209208451,2.1189614,1.909752949,441,552
Mbp,3,1,4,5,27.9707403038621,0.771749194499999,2.535416601,1.7636674065,136,242
Ucn3,3,1,4,3,24.2388660635185,0.0025951305,0.025843238,0.0232481075,441,552
Sln,13,1,1,3,23.9677828280683,0.00967641,0.00967641,0,926,1251
Mbp,3,1,4,2,19.23073506662,0.731181456,2.679340662,1.948159206,89,204
Gad1,13,1,1,3,17.7693718337889,3.193802651,12.946068655,9.752266004,926,1251
Syt4,13,1,1,3,17.6855449738424,0.724634817500001,6.1959119665,5.471277149,926,1251
Gnrh1,13,1,1,3,17.2173487107668,0.00387902,0.005483273,0.001604253,926,1251
Pcdh11x,13,1,1,3,16.6680302998127,0.3201131765,1.6629929335,1.342879757,926,1251
Gda,6,1,10,1,16.3076235281366,1.616065322,10.90693547,9.290870148,219,326
Mbp,13,1,1,5,15.5980082915353,0.082986393,0.082986393,0,511,805
Trh,11,1,11,3,14.939567080908,0.110641094,0.3339552765,0.2233141825,372,510
Mbp,3,1,4,1,14.8664444390324,0.208154603,1.398587903,1.1904333,170,326
Lpar1,3,1,4,3,14.1261656895531,0.5807115335,6.155170714,5.5744591805,441,552
Col25a1,13,1,1,3,13.5882931791053,0.772193945,3.504953364,2.732759419,926,1251
Tac2,3,1,4,1,13.5439931500138,0.016970146,0.019537842,0.002567696,170,326
Glra3,6,1,10,1,13.1948101090935,0.919913725,4.47646101,3.556547285,219,326
Syt4,2,1,8,2,13.071075534967,0.606033219999999,14.13049493,13.52446171,382,422
Col25a1,9,1,13,4,12.6461458187586,1.1893105205,5.0683013295,3.878990809,166,233
Adcyap1,28,2,3,2,12.5988959402413,0.006232012,0.006232012,0,152,290
Scg2,21,1,13,5,12.549247634729,0.2921339495,0.726434078,0.4343001285,69,178
Gda,13,1,1,4,12.4165351178885,-0.29971751,0.529603827,0.829321337,540,819
Coch,19,2,20,2,12.3085316280833,8.531026922,12.670279945,4.139253023,26,85
Cspg5,13,1,1,4,12.12618855884,-0.5838477545,2.5818715225,3.165719277,540,819
Sln,6,1,10,1,11.8637985988329,0.0882774235,0.133013279,0.0447358555,219,326
Esr1,21,1,13,5,11.8261729217805,4.98374395,15.39834428,10.41460033,69,178
Ndrg1,9,1,13,5,11.6187388386934,0.697546755,3.8339067655,3.1363600105,122,178
Mbp,3,1,4,4,11.5464686116629,0.633840451,2.35196905,1.718128599,81,167
Pak3,2,1,8,2,11.3797131278196,0.65745946,16.370295055,15.712835595,382,422
Cck,13,1,1,1,11.1417926431166,0.0048630495,0.019381623,0.0145185735,591,896
Cspg5,13,1,1,1,11.1202648371163,-0.745640596499999,5.367808583,6.1134491795,591,896
Adcyap1,7,1,21,5,11.0834789183784,0.014453321,0.044335401,0.02988208,67,98
Tac1,4,1,6,4,10.8327120879389,0.006434016,0.012782993,0.006348977,333,412
Cck,3,1,4,3,10.8014435008346,0.0019860515,0.0302675,0.0282814485,441,552
Ar,14,1,8,3,10.718166716629,1.819736304,3.5757566575,1.7560203535,50,162
Prlr,13,1,1,4,10.4589742750583,-0.349065928,1.29486436,1.643930288,540,819
Ar,13,1,1,4,10.4589742750577,-0.529721395,1.101212887,1.630934282,540,819
